,protein_name
441,RBM19_RBM19
442,VPS4A_VPS4A
443,ALDH3A1_Aldehyde_dehydrogenase__class_3
444,HAVCR2_TIMD3
445,ZNF174_ZN174
446,UBL4A_UBL4A
447,DYNLL2_DYL2
448,ELL2_ELL2
449,APOL1_Apo_L1
450,CD38_CD38
451,CD59_CD59
452,FABP1_FABPL
453,HMBS_HEM3
454,C10orf54_GI24
455,LRIT3_LRIT3
456,MYSM1_MYSM1
457,TFR2_TFR2
458,MLYCD_DCMC
459,ATP5J2_ATPK
460,FOXO3_FOXO3A
461,TMEM230_TM230
462,LIMA1_LIMA1
463,PHF3_PHF3
464,CYGB_CYGB
465,MUSK_MUSK
466,CDC25A_MPIP1
467,ISL1_ISL1
468,HMG20B_HM20B
469,ARFGAP1_ARFG1
470,SMURF1_SMUF1
471,NFATC4_NFAC4
472,POLE2_DPOE2
473,SYTL4_SYTL4
474,ZNF23_ZNF23
475,KRT72_Keratin_72
476,ZNF10_ZNF10
477,FKBP1B_FKB1B
478,BCAP29_BAP29
479,KLRC3_NKG2E
480,DNM2_DYN2
481,SRSF6_SRSF6
482,DNAJA2_DNJA2
483,MGA_MGAP
484,RBM23_RBM23
485,PRC1_PRC1
486,ELAVL1_ELAV1
487,CXCL9_MIG
488,ZNF75D_ZN75D
489,DHX8_DHX8
490,DNAJB6_DNJB6
491,BRD1_BRD1
492,MAP1LC3B_MLP3B
493,ERH_ERH
494,DAPP1_DAPP1
495,HSF1_HSF1
496,ITGAL_LFA_1_alpha_L_chain
497,MYB_MYB
498,UBE2V1_UB2V1
499,AHSA1_AHSA1
500,RGS10_RGS10
501,TAGLN2_Transgelin_2
502,B3GALT2_B3GT2
503,DTX3L_DTX3L
504,P4HA1_P4HA1
505,CHST9_Carbohydrate_sulfotransferase_9
506,FZD10_Frizzled_10
507,SMAP1_SMAP1
508,SLC6A9_SC6A9
509,NRSN1_NRSN1
510,EVL_EVL
511,SOCS7_SOCS7
512,CLINT1_EPN4
513,NLRP1_NALP1
