accessionId,reportedTrait,discoverySampleAncestry,summaryStatistics,pubmedId,initialSampleDescription
GCST90032249,CAG-1000 sp000434555 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032249,35115689,"5,959 Finnish ancestry individuals"
GCST90032250,CAG-1000 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032250,35115689,"5,959 Finnish ancestry individuals"
GCST90032251,CAG-1031 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032251,35115689,"5,959 Finnish ancestry individuals"
GCST90032252,CAG-110 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032252,35115689,"5,959 Finnish ancestry individuals"
GCST90032253,CAG-145 sp000435615 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032253,35115689,"5,959 Finnish ancestry individuals"
GCST90032254,CAG-145 sp002320005 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032254,35115689,"5,959 Finnish ancestry individuals"
GCST90032255,CAG-145 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032255,35115689,"5,959 Finnish ancestry individuals"
GCST90032256,CAG-170 sp003516765 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032256,35115689,"5,959 Finnish ancestry individuals"
GCST90032257,CAG-177 sp002438685 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032257,35115689,"5,959 Finnish ancestry individuals"
GCST90032258,CAG-177 sp002451755 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032258,35115689,"5,959 Finnish ancestry individuals"
GCST90032259,CAG-177 sp003514385 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032259,35115689,"5,959 Finnish ancestry individuals"
GCST90032260,CAG-177 sp003538135 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032260,35115689,"5,959 Finnish ancestry individuals"
GCST90032261,CAG-177 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032261,35115689,"5,959 Finnish ancestry individuals"
GCST90032262,CAG-180 sp000432435 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032262,35115689,"5,959 Finnish ancestry individuals"
GCST90032263,CAG-194 sp002441865 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032263,35115689,"5,959 Finnish ancestry individuals"
GCST90032264,CAG-245 sp000435175 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032264,35115689,"5,959 Finnish ancestry individuals"
GCST90032265,CAG-245 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032265,35115689,"5,959 Finnish ancestry individuals"
GCST90032266,CAG-269 sp001915995 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032266,35115689,"5,959 Finnish ancestry individuals"
GCST90032267,CAG-269 sp001916065 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032267,35115689,"5,959 Finnish ancestry individuals"
GCST90032268,CAG-269 sp002372935 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032268,35115689,"5,959 Finnish ancestry individuals"
GCST90032269,CAG-273 sp003507395 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032269,35115689,"5,959 Finnish ancestry individuals"
GCST90032270,CAG-273 sp003534295 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032270,35115689,"5,959 Finnish ancestry individuals"
GCST90032271,CAG-274 sp000432155 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032271,35115689,"5,959 Finnish ancestry individuals"
GCST90032272,CAG-302 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032272,35115689,"5,959 Finnish ancestry individuals"
GCST90032273,CAG-345 sp000433315 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032273,35115689,"5,959 Finnish ancestry individuals"
GCST90032274,CAG-345 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032274,35115689,"5,959 Finnish ancestry individuals"
GCST90032275,CAG-349 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032275,35115689,"5,959 Finnish ancestry individuals"
GCST90032276,CAG-390 sp003523225 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032276,35115689,"5,959 Finnish ancestry individuals"
GCST90032277,CAG-433 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032277,35115689,"5,959 Finnish ancestry individuals"
GCST90032278,CAG-448 sp000433415 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032278,35115689,"5,959 Finnish ancestry individuals"
GCST90032279,CAG-448 sp003150135 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032279,35115689,"5,959 Finnish ancestry individuals"
GCST90032280,CAG-448 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032280,35115689,"5,959 Finnish ancestry individuals"
GCST90032281,CAG-449 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032281,35115689,"5,959 Finnish ancestry individuals"
GCST90032282,CAG-452 sp000434035 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032282,35115689,"5,959 Finnish ancestry individuals"
GCST90032283,CAG-452 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032283,35115689,"5,959 Finnish ancestry individuals"
GCST90032284,CAG-465 sp000433135 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032284,35115689,"5,959 Finnish ancestry individuals"
GCST90032285,CAG-475 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032285,35115689,"5,959 Finnish ancestry individuals"
GCST90032286,CAG-485 sp002362485 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032286,35115689,"5,959 Finnish ancestry individuals"
GCST90032287,CAG-485 sp002404675 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032287,35115689,"5,959 Finnish ancestry individuals"
GCST90032288,CAG-488 sp000434055 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032288,35115689,"5,959 Finnish ancestry individuals"
GCST90032289,CAG-488 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032289,35115689,"5,959 Finnish ancestry individuals"
GCST90032290,CAG-495 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032290,35115689,"5,959 Finnish ancestry individuals"
GCST90032291,CAG-510 sp002432425 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032291,35115689,"5,959 Finnish ancestry individuals"
GCST90032292,CAG-552 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032292,35115689,"5,959 Finnish ancestry individuals"
GCST90032293,CAG-590 sp000431135 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032293,35115689,"5,959 Finnish ancestry individuals"
GCST90032294,CAG-632 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032294,35115689,"5,959 Finnish ancestry individuals"
GCST90032295,CAG-698 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032295,35115689,"5,959 Finnish ancestry individuals"
GCST90032296,CAG-776 sp000438195 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032296,35115689,"5,959 Finnish ancestry individuals"
GCST90032297,CAG-776 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032297,35115689,"5,959 Finnish ancestry individuals"
GCST90032298,CAG-81 sp000435795 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032298,35115689,"5,959 Finnish ancestry individuals"
GCST90032299,CAG-822 sp000432855 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032299,35115689,"5,959 Finnish ancestry individuals"
